CCIndex	x	y	area	aux	cuc
10472	-28.11	-8.15982	47.5234	0.538197	0
25231	-10.4773	12.541	31.802	13.667	0
28604	-0.987401	-14.1257	27.9231	15.8503	0
29473	8.50255	24.324	24.1698	6.95445	0
24529	1.51158	33.7127	29.6996	0.0856119	0
29184	-17.7565	-9.7568	24.405	3.33582	0
26989	-0.164215	-31.5221	35.1016	0.155751	0
23845	-5.17688	16.2436	34.7064	4.17823	0
10654	28.2922	10.5813	34.9254	0.161093	0
23190	17.5722	-26.6797	27.1883	0.0914914	0
17471	4.44581	-29.3316	37.8047	0.188881	0
22954	-6.51389	-26.7131	33.8507	0.958336	0
10145	7.72048	-7.50555	42.867	2.97126	0
30378	-19.801	25.4088	25.1733	0.306976	0
30989	2.20564	-9.08026	24.4379	4.76218	0
29765	-3.71278	-5.58768	27.1773	2.71207	0
9975	-27.6981	-17.2071	45.4231	0.19031	0
24760	32.0259	1.36254	30.8347	0.105765	0
27514	23.6087	-11.9055	26.6279	0.38248	0
26213	-35.9509	1.91069	29.9395	0.0903126	0
14341	11.671	12.1049	41.1705	3.25216	0
26729	-2.14083	2.99862	27.1762	0.350756	0
11320	-12.6719	-13.7742	37.1758	2.8067	0
28053	12.3533	19.7993	28.1433	7.96748	0
24993	23.7027	15.2972	36.3803	0.286971	0
27249	0.667752	-20.6508	30.5466	9.41613	0
10131	-6.3233	-15.9592	48.401	9.6632	0
10307	-20.2672	16.7938	44.0465	1.30079	0
9658	-21.319	-5.27689	49.5994	5.72351	0
30077	12.0873	31.8224	28.9966	0.220133	0
13974	5.61483	10.1343	43.8908	0.73312	0
10640	-27.8085	0.248594	50.0935	1.18474	0
23162	23.9345	0.969667	41.3676	11.9785	0
23176	25.4773	-6.22533	30.6836	2.8243	0
15051	11.6894	-27.5753	41.8775	0.143308	0
25963	-20.8252	4.60642	35.5966	18.0967	0
23404	-24.2988	9.98563	43.3308	2.49563	0
15079	-29.0929	15.3838	41.7282	0.169672	0
15065	17.3412	5.50225	45.4808	4.31495	0
24298	8.40934	2.77999	34.6929	0.317342	0
24070	-1.29877	26.8541	36.2444	0.632424	0
23623	22.3152	22.9058	31.4254	0.118595	0
22749	-0.733228	21.0281	39.9687	4.68906	0
17457	-14.2351	-25.2207	36.6177	0.362134	0
25472	-8.87258	2.6406	31.507	3.76882	0
26463	-19.9868	-24.2705	32.6896	0.159112	0
25716	21.7047	-16.7425	24.2226	0.154531	0
