CCIndex	x	y	area	aux	cuc
10472	-25.953	-7.49619	39.7396	1.58082	0
25231	-9.74787	11.5637	26.9294	7.71414	0
9229	14.5126	24.2031	47.7674	1.36481	0
9514	-3.67008	-6.94765	45.8721	4.18121	0
24529	1.32366	31.0835	25.7083	0.196664	0
9362	5.81244	21.7102	44.8356	5.62678	0
26989	-0.151513	-29.0438	30.0088	0.496659	0
23845	-4.78488	14.9039	28.9615	5.20955	0
10654	25.8585	9.58037	29.8689	0.61816	0
23190	16.163	-24.6528	23.5424	0.183654	0
17471	4.09545	-27.0409	32.2509	0.567198	0
22954	-5.99878	-24.454	29.1274	2.66511	0
10145	7.06508	-6.86347	35.7939	3.12235	0
14156	11.9263	-12.5467	43.6314	3.96849	0
9500	6.71762	-15.0656	42.5106	4.65885	0
9822	11.8772	-3.27193	45.3047	5.39133	0
9975	-25.4333	-15.8129	38.5905	0.565815	0
24760	29.2636	1.23914	26.2415	0.252246	0
27514	21.5946	-11.0411	22.8424	1.65623	0
26213	-33.245	1.84241	26.2006	0.188856	0
14341	10.7013	11.2197	34.5476	3.07002	0
26729	-1.98817	2.9267	22.9958	2.33122	0
11320	-11.7318	-12.5283	31.3856	2.95173	0
8966	-13.4102	1.57354	48.7552	8.51527	0
24993	21.6634	14.0548	30.8266	1.15355	0
27249	0.575698	-19.0265	25.9018	6.71647	0
10131	-5.89843	-14.5539	40.7161	4.81046	0
10307	-18.7776	15.4711	37.1391	2.35765	0
9658	-19.7282	-4.81579	40.7007	5.48421	0
11308	-16.4885	22.0814	43.5325	0.643431	0
13974	5.16292	9.36664	36.4394	1.40565	0
10640	-25.7377	0.184375	41.2382	2.44997	0
23162	21.7329	0.817765	34.6431	7.23004	0
23176	23.2771	-5.8236	25.5936	3.13234	0
15051	10.7471	-25.4371	35.6896	0.310228	0
25963	-19.3223	4.18235	30.2189	8.35927	0
23404	-22.6032	9.11854	36.8614	3.79817	0
15079	-26.9773	14.1777	35.2996	0.290291	0
15065	15.7953	5.1091	37.4576	4.37095	0
24298	7.74091	2.62416	29.5918	1.39709	0
24070	-1.26324	24.6964	30.5475	1.59128	0
23623	20.3716	21.1383	26.8556	0.458232	0
22749	-0.701563	19.3336	34.1458	4.88206	0
17457	-13.1511	-23.0589	31.2703	1.11056	0
25472	-8.24826	2.61662	26.2285	4.17094	0
26463	-18.4311	-22.1725	27.4187	0.733426	0
25716	19.817	-15.5548	21.47	0.876394	0
26715	-14.0855	8.28035	27.171	11.0157	0
9228	10.2345	28.0205	44.3208	0.693079	0
27782	-9.42988	19.9864	30.867	3.85732	0
9499	0.768872	-13.233	48.3007	6.81558	0
9513	-8.7908	-5.40701	47.8968	4.28771	0
9657	-14.7961	-7.30834	46.9549	5.04875	0
9671	-8.59548	26.3916	35.6491	0.587489	0
9821	16.4941	-6.52847	38.2991	7.41942	0
9974	-21.3769	-12.1507	40.0472	2.52731	0
10130	-8.57956	-19.3521	38.888	4.41456	0
10144	2.15412	-6.1346	43.8731	3.72951	0
10306	-22.098	18.8442	37.7905	0.323167	0
10471	-30.3171	-9.77722	35.6263	0.277531	0
10639	-30.4969	-2.44474	32.0365	0.536588	0
10653	21.1244	7.10945	40.8592	3.17038	0
11307	-14.2667	26.1513	29.6471	0.169672	0
11319	-15.6516	-15.7353	41.8632	3.09761	0
13973	1.08395	6.3424	35.0572	1.27774	0
14155	16.5415	-12.5957	26.9615	2.35269	0
14340	15.5503	12.6428	35.0785	3.32173	0
15050	10.6399	-19.8866	30.2601	1.12773	0
15064	11.3629	4.78725	30.9818	1.96882	0
15078	-30.7832	10.5952	29.4556	0.141786	0
17456	-15.1847	-27.1775	32.9582	0.248519	0
17470	5.19437	-22.2394	32.0544	1.91595	0
22748	2.3635	15.052	29.5428	4.02633	0
22953	-8.52228	-28.4389	32.296	0.636568	0
23161	18.8105	-2.08703	28.1976	10.2463	0
23175	27.604	-4.38919	35.214	0.749519	0
23189	17.0567	-20.0421	38.8302	0.907455	0
23403	-26.1355	6.51627	24.8376	1.39351	0
23622	17.0752	17.8509	33.4428	2.1124	0
23844	-2.73049	10.8685	33.1111	3.61377	0
24069	-3.48749	29.1039	29.3577	0.316901	0
24297	4.28895	0.244381	30.7021	1.5779	0
24528	4.66602	28.295	33.7416	0.791155	0
24759	27.7225	5.10575	33.5494	0.564206	0
24992	25.2451	16.3594	27.4173	0.241073	0
25230	-12.1044	15.6861	30.9475	6.02837	0
25471	-6.9428	6.83617	30.8318	4.82471	0
25715	23.5516	-17.5312	33.5389	0.585891	0
25962	-19.588	0.0445809	24.6755	7.03387	0
26212	-31.4806	5.60634	28.4374	0.275931	0
26462	-21.2768	-19.8086	28.3662	0.693617	0
26714	-17.1034	11.116	27.0182	8.24569	0
26728	-3.07163	-0.692331	31.0648	3.23216	0
26988	-3.97418	-30.8344	23.102	0.325072	0
27248	-1.83729	-22.1087	26.9433	5.99722	0
27513	26.049	-11.2951	28.871	1.35828	0
27781	-5.55288	21.2106	20.625	3.78824	0
28052	7.48088	15.7647	26.2258	7.06004	0
28053	11.2006	18.4018	24.2323	7.06004	0
