CCIndex	x	y	area	aux	cuc
10472	-23.9405	-6.9161	33.3176	1.76302	0
9096	-7.03909	4.60255	48.4829	2.15825	0
9229	13.2793	22.5064	39.7151	1.3173	0
9514	-3.44812	-6.22592	39.2765	1.74643	0
24529	1.21748	28.6726	22.2795	1.12935	0
9362	5.35624	20.0044	37.2523	2.02436	0
6633	-0.633373	-18.9258	43.7132	2.43456	0
23845	-4.50715	13.741	24.3945	2.32752	0
10654	23.6694	8.72165	25.7478	1.05165	0
23190	14.8895	-22.7758	20.5107	0.781052	0
17471	3.74019	-24.9555	28.0946	1.02069	0
22954	-5.55249	-22.4641	25.1183	2.05358	0
10145	6.36247	-6.24785	30.1864	1.55874	0
14156	10.8253	-11.5557	36.8677	1.93056	0
9500	6.0734	-13.8644	35.8891	1.91094	0
9822	10.8047	-3.03566	37.725	1.87244	0
9975	-23.3996	-14.6235	33.2101	0.968706	0
5865	21.3892	13.9892	50.1021	1.3407	0
9672	-7.29813	18.8378	43.0582	2.03679	0
5877	-18.1748	-19.1641	46.0309	1.3227	0
14341	9.76126	10.5149	29.6237	1.49756	0
6621	-1.75529	-27.4695	44.1509	0.985547	0
11320	-10.873	-11.4341	26.848	1.49266	0
8966	-12.3793	1.56431	40.1868	1.95923	0
8839	-10.2858	12.6734	49.3392	2.51622	0
7727	22.0089	-10.3722	42.5806	1.49097	0
10131	-5.48945	-13.3549	34.4998	1.69422	0
10307	-17.4223	14.3279	31.4752	1.66512	0
9658	-18.1548	-4.44543	34.2115	1.98524	0
11308	-15.2562	20.3679	36.1245	1.14863	0
13974	4.71569	8.65153	30.4698	1.24606	0
10640	-23.6887	0.138244	34.6535	1.91685	0
23162	19.7148	0.715365	29.2678	2.61905	0
23176	21.2508	-5.52782	21.8363	1.79642	0
15051	9.86902	-23.4846	30.7807	0.883296	0
5764	-29.8358	3.50691	46.9758	0.886187	0
23404	-20.9822	8.38273	31.548	2.3466	0
15079	-25.0506	13.1149	30.0672	0.773813	0
15065	14.3678	4.81511	31.0974	1.76631	0
24298	7.07654	2.4748	25.4127	1.83364	0
24070	-1.16706	22.6997	25.8548	1.69057	0
23623	18.6131	19.6262	23.1548	1.25487	0
22749	-0.672454	17.7759	29.3652	2.16431	0
17457	-12.1869	-21.2076	26.9386	1.42892	0
7726	20.2019	-15.4491	48.3988	1.36544	0
8838	-14.5577	9.02561	45.3354	2.38537	0
8965	-17.8611	2.10545	47.6063	2.5018	0
9095	-2.46944	0.95249	45.2704	1.88378	0
9228	9.37102	25.9256	38.208	0.937075	0
9361	8.44108	15.8193	41.6323	2.30508	0
9499	0.614862	-12.1352	41.1601	2.04392	0
9513	-8.09198	-4.86556	40.4108	1.73404	0
9657	-13.6302	-6.6286	39.6991	1.92626	0
9671	-8.01839	24.2164	30.1274	0.99902	0
9821	14.9791	-5.98971	32.3837	2.0116	0
9974	-19.7516	-11.194	34.1242	1.93982	0
10130	-7.86621	-17.7683	33.0193	1.94949	0
10144	1.91553	-5.53271	37.9982	1.75178	0
10306	-20.4062	17.3836	32.5636	0.87804	0
10471	-27.9225	-8.96449	30.5301	0.6939	0
10639	-28.0647	-2.15218	27.3595	1.0931	0
10653	19.3003	6.53908	35.0918	1.81801	0
11307	-13.2667	24.0285	25.7865	0.557782	0
11319	-14.3637	-14.3482	34.787	1.96793	0
13973	0.894743	6.04059	29.6638	1.26109	0
14155	15.0051	-11.6187	23.0804	1.44801	0
14340	14.1623	11.7856	29.7628	1.65811	0
15050	9.64537	-18.3651	25.8989	1.37877	0
15064	10.4083	4.49241	26.3509	1.37647	0
15078	-28.5282	9.82144	25.5455	0.559371	0
17456	-14.0072	-24.9933	28.8024	0.639235	0
17470	4.65771	-20.5143	27.1687	1.61794	0
22748	2.15563	13.8961	24.7202	1.89408	0
22953	-7.77129	-26.2264	28.0162	1.388	0
23161	17.1922	-1.97312	24.2837	2.66294	0
23175	25.1993	-4.08347	30.7693	1.25059	0
23189	15.5894	-18.5572	32.5164	1.52556	0
23403	-24.1238	6.01645	21.1314	1.98169	0
23622	15.6269	16.5751	29.1102	1.86389	0
23844	-2.62318	10.1474	27.749	2.12055	0
24069	-3.25434	26.7407	25.9742	1.45953	0
24297	3.85865	0.43887	25.9212	1.79756	0
24528	4.25764	26.1002	28.7415	1.20172	0
24759	25.3864	4.65929	28.6113	1.03772	0
24760	26.7593	1.17884	22.4325	1.01471	0
