CCIndex	x	y	area	aux	cuc
10472	-25.281	-7.32068	37.4589	1.95598	0
25231	-9.52936	11.262	25.4449	5.667	0
9229	14.0828	23.6069	44.8793	1.53675	0
9514	-3.59959	-6.68227	43.6125	3.32233	0
24529	1.28015	30.2391	24.5181	0.398443	0
9362	5.6525	21.1131	42.1187	4.45162	0
6633	-0.632075	-19.9998	49.9898	5.22639	0
23845	-4.67677	14.4932	27.2996	4.3782	0
10654	25.1007	9.27386	28.4018	0.935823	0
23190	15.7264	-24.0304	22.4778	0.320826	0
17471	3.99125	-26.3672	30.9506	0.821771	0
22954	-5.88952	-23.675	27.352	2.78047	0
10145	6.8305	-6.66652	33.8087	2.72937	0
14156	11.5494	-12.226	41.239	3.5016	0
9500	6.4994	-14.6686	40.1958	3.81724	0
9822	11.5111	-3.20291	42.5687	4.05385	0
9975	-24.7302	-15.427	36.6608	0.818903	0
24760	28.3965	1.20468	24.8974	0.414106	0
9672	-7.67644	19.9097	48.6483	3.78794	0
26213	-32.3947	1.78994	25.0967	0.403333	0
14341	10.3781	10.9691	32.8071	2.614	0
26729	-1.9666	2.90704	21.7127	3.14789	0
11320	-11.4539	-12.1331	29.731	2.55174	0
8966	-13.0794	1.56725	45.5705	5.36454	0
24993	21.0255	13.6774	29.1916	1.62341	0
7727	23.3701	-10.9165	48.6877	1.99146	0
10131	-5.77137	-14.1049	38.4394	3.54489	0
10307	-18.3261	15.055	35.0897	2.4181	0
9658	-19.2104	-4.70334	38.3583	4.36796	0
11308	-16.0706	21.4693	40.936	0.909381	0
13974	5.01058	9.11539	34.2897	1.55169	0
10640	-25.0738	0.138954	38.8225	2.71323	0
23162	21.0356	0.772857	32.7305	5.5616	0
23176	22.5758	-5.71979	24.1997	2.8606	0
15051	10.4545	-24.7953	33.915	0.513406	0
25963	-18.8273	4.03393	28.7579	6.19168	0
23404	-22.0771	8.83637	34.9534	3.75807	0
15079	-26.3287	13.7866	33.4562	0.440069	0
15065	15.3029	4.99892	35.1877	3.58445	0
24298	7.51851	2.56511	28.1248	1.82767	0
24070	-1.23547	24.0014	28.8729	1.9593	0
23623	19.7619	20.607	25.5537	0.775002	0
22749	-0.688696	18.7915	32.4346	4.14681	0
17457	-12.8247	-22.3962	29.6025	1.43882	0
25472	-8.10574	2.61214	24.8327	3.71408	0
26463	-17.9395	-21.5573	25.8483	1.22251	0
25716	19.2162	-15.171	20.6309	1.39735	0
26715	-13.7713	8.09969	25.6978	6.95195	0
9228	9.93306	27.2862	42.14	0.900095	0
9361	8.98048	16.6047	47.3047	5.36807	0
9499	0.718938	-12.8474	45.7624	4.84453	0
9513	-8.56763	-5.20723	45.2754	3.31635	0
9657	-14.4141	-7.07213	44.3236	3.89976	0
9671	-8.40549	25.6416	33.5706	0.812706	0
9821	15.9703	-6.35852	36.2318	5.06353	0
9974	-20.8297	-11.8325	37.8986	2.75893	0
10130	-8.35237	-18.7665	36.7284	3.75823	0
10144	2.07578	-5.92983	41.8349	3.1575	0
10306	-21.5262	18.315	35.949	0.530409	0
10471	-29.5046	-9.53203	33.7914	0.420014	0
10639	-29.69	-2.37764	30.3798	0.843772	0
10653	20.4926	6.90377	38.7936	3.0914	0
11307	-13.93	25.4016	28.2818	0.263778	0
11319	-15.2312	-15.2612	39.5105	3.14182	0
13973	1.0257	6.22765	33.1928	1.57071	0
14155	16.016	-12.2799	25.6172	2.30161	0
14340	15.0708	12.3392	33.178	3.03356	0
15050	10.3018	-19.387	28.7383	1.46325	0
15064	11.0361	4.67748	29.3193	2.01021	0
15078	-30.0275	10.3045	28.0729	0.242976	0
17456	-14.7378	-26.4169	31.4473	0.387844	0
17470	5.03918	-21.6739	30.2027	2.09246	0
22748	2.29061	14.6446	27.8425	3.34371	0
22953	-8.24136	-27.6464	30.8657	0.980625	0
23161	18.2476	-2.05567	26.8219	6.89086	0
23175	26.7725	-4.29648	33.6101	1.00951	0
23189	16.5481	-19.5552	36.4991	1.38689	0
23403	-25.4784	6.31465	23.5232	1.89528	0
23622	16.5718	17.4028	31.8934	2.45194	0
23844	-2.69617	10.6067	31.202	3.35137	0
24069	-3.41626	28.28	28.1499	0.61881	0
24297	4.15833	0.297444	28.9488	2.01708	0
24528	4.5223	27.5276	31.9725	1.09901	0
24759	26.9133	4.94043	31.8219	0.830512	0
24992	24.5043	15.9088	26.2071	0.485771	0
25230	-11.8135	15.247	29.3254	5.10775	0
25471	-6.79445	6.67631	29.0967	4.21288	0
25715	22.8646	-17.0841	32.1519	1.05454	0
25962	-19.058	0.015456	23.7107	5.58732	0
26212	-30.696	5.44607	27.0362	0.513834	0
26462	-20.6751	-19.2973	26.859	1.16544	0
26714	-16.7309	10.8119	25.7603	6.76643	0
26728	-3.01986	-0.585992	29.5849	3.37409	0
26988	-3.92406	-30.0178	22.1815	0.828952	0
26989	-0.233456	-28.1306	28.183	0.828952	0
