CCIndex	x	y	area	aux	cuc
10472	-27.3671	-7.92218	44.7345	0.758382	0
25231	-10.2273	12.2102	30.0989	12.2214	0
28604	-0.96722	-13.6881	26.6542	11.5495	0
29473	8.19623	23.7077	22.8666	7.35424	0
24529	1.43261	32.8264	28.2874	0.088497	0
29184	-17.315	-9.41576	23.2967	5.14286	0
26989	-0.157029	-30.6522	33.289	0.200713	0
23845	-5.04154	15.7882	32.6856	5.21231	0
10654	27.4538	10.2281	33.1163	0.226718	0
23190	17.088	-25.9747	25.8903	0.095046	0
17471	4.32658	-28.5294	35.7891	0.2494	0
22954	-6.33461	-25.9201	32.1437	1.46098	0
10145	7.52145	-7.27689	40.2173	3.24844	0
14156	12.6971	-13.2248	48.9773	3.73588	0
9500	7.16673	-15.9109	47.6329	5.82445	0
29765	-3.5758	-5.35799	26.0257	4.81813	0
9975	-26.9115	-16.7146	42.9644	0.231858	0
24760	31.0807	1.31553	29.2004	0.11609	0
27514	22.9319	-11.6113	25.2949	0.591755	0
26213	-35.0208	1.89077	28.6129	0.100434	0
14341	11.3437	11.7913	38.7604	3.39896	0
26729	-2.08254	2.97837	25.7281	0.735596	0
11320	-12.3431	-13.3459	35.0583	3.14696	0
28053	11.9647	19.3067	26.7388	7.9644	0
24993	23.0027	14.8581	34.4057	0.435803	0
27249	0.640056	-20.085	28.853	8.79261	0
10131	-6.17168	-15.4672	45.6938	7.82704	0
10307	-19.7584	16.3358	41.5661	1.67238	0
9658	-20.7873	-5.10115	46.2662	6.53109	0
11308	-17.3831	23.3514	49.2963	0.333779	0
13974	5.46024	9.87669	41.2184	0.930512	0
10640	-27.1029	0.23418	46.8691	1.53847	0
23162	23.1851	0.911528	38.9501	10.4118	0
23176	24.7353	-6.08795	28.8922	2.91123	0
15051	11.3661	-26.8288	39.6753	0.153501	0
25963	-20.3176	4.47036	33.6392	14.0983	0
23404	-23.7193	9.69023	41.0281	2.96084	0
15079	-28.368	14.9686	39.4101	0.160336	0
15065	16.8145	5.35826	42.6168	4.77295	0
24298	8.18109	2.73887	32.8444	0.557539	0
24070	-1.29611	26.1251	34.2227	0.840501	0
23623	21.6536	22.2806	29.7668	0.166381	0
22749	-0.723358	20.4544	37.919	5.01672	0
17457	-13.8583	-24.4613	34.7031	0.501501	0
25472	-8.64781	2.63544	29.6389	4.27217	0
26463	-19.4456	-23.5332	30.8124	0.2143	0
25716	21.0652	-16.3341	23.253	0.228729	0
26715	-14.7669	8.67275	30.3936	24.8333	0
9228	10.9295	29.516	49.8058	0.418709	0
27782	-9.96839	21.1293	34.0396	2.04653	0
28327	-14.2299	3.80855	26.7823	18.7728	0
28884	14.1622	23.9523	28.4368	0.926951	0
28898	-9.29682	-3.4595	26.5143	4.19669	0
9671	-8.98032	27.8979	40.7196	0.24556	0
9821	17.5659	-6.88081	43.0279	13.764	0
9974	-22.5428	-12.8718	44.8321	1.37989	0
10130	-9.07199	-20.5467	43.6062	4.06744	0
10144	2.26987	-6.58266	48.7699	4.37626	0
10306	-23.3316	19.9429	41.8858	0.169176	0
10471	-32.0191	-10.3707	39.6898	0.140607	0
10639	-32.1844	-2.64704	35.7307	0.222164	0
10653	22.4473	7.5492	45.5119	2.35866	0
11307	-14.9673	27.6964	32.7022	0.0949554	0
11319	-16.5515	-16.7514	47.172	1.86656	0
13973	1.16457	6.58505	39.1133	0.480274	0
14155	17.6197	-13.2596	29.8508	1.70667	0
14340	16.5353	13.3057	39.4209	2.72267	0
15050	11.3407	-20.9667	33.6852	0.548332	0
15064	12.0329	5.02066	34.7228	1.35747	0
15078	-32.3814	11.1503	32.5171	0.105098	0
17456	-16.0309	-28.8373	36.2832	0.123064	0
17470	5.51663	-23.4496	36.1417	1.26374	0
22748	2.51102	15.8915	33.2836	5.17713	0
22953	-9.04626	-30.1046	35.6835	0.242713	0
23161	19.9862	-2.16339	31.2582	19.2378	0
23175	29.3377	-4.58495	38.8763	0.323889	0
23189	18.1243	-21.0673	44.1524	0.338369	0
23403	-27.5044	6.89583	27.7419	0.559506	0
23622	18.1417	18.8032	36.8537	1.11575	0
23844	-2.83218	11.4274	37.3602	3.06413	0
24069	-3.62056	30.7993	32.0536	0.128483	0
24297	4.51695	0.140606	34.6219	0.605443	0
24528	4.99196	29.8644	37.805	0.445281	0
24759	29.422	5.45484	37.3175	0.259039	0
24992	26.803	17.3172	30.1417	0.104946	0
25230	-12.7462	16.6036	34.4537	6.13445	0
25471	-7.29343	7.17941	34.6834	5.03574	0
25715	24.9896	-18.4101	36.8318	0.160495	0
25962	-20.6126	0.079426	27.071	9.72265	0
26212	-33.1207	5.88285	31.5306	0.145292	0
26462	-22.5313	-20.9674	31.7094	0.199175	0
26714	-17.912	11.7525	29.6988	12.1693	0
26728	-3.23834	-0.895703	34.3469	1.7629	0
26988	-4.21928	-32.5578	25.5004	0.103511	0
27248	-1.94381	-23.4168	30.1581	5.07785	0
27513	27.6328	-11.8248	32.0032	0.27201	0
27781	-5.82397	22.3857	22.815	1.585	0
28052	7.95753	16.5928	28.8536	10.3424	0
28326	-14.0052	-0.604891	27.4736	12.3673	0
28603	2.70872	-14.3706	26.4437	11.617	0
28883	16.9554	27.1331	24.7609	0.250076	0
28897	-9.2973	-8.17228	26.4317	4.39967	0
29183	-14.1888	-6.5403	28.8377	6.3274	0
29472	4.65283	22.2299	28.7612	8.09615	0
29764	-4.19765	-9.68496	25.0158	5.67542	0
29778	13.8052	-1.59871	24.443	8.12171	0
29779	11.5327	-5.06193	26.8759	7.71569	0
