CCIndex	x	y	area	aux	cuc
10472	-26.6676	-7.78502	42.0464	1.20333	0
25472	20.863	-16.8089	31.3286	0.71433	0
28604	-9.04669	-3.16095	25.1741	5.83819	0
9514	-3.77058	-7.0889	48.4975	5.88773	0
24529	0.765874	32.1439	19.874	0.0937764	0
9362	5.99698	22.3045	48.2544	7.57502	0
26989	-0.110662	-29.6584	31.7966	0.297085	0
23845	-5.09705	15.5105	27.4429	5.6869	0
10654	26.6578	9.72961	31.9127	0.346042	0
23188	17.9596	-24.3462	35.3834	0.174654	0
17471	4.27277	-27.6877	33.7619	0.376005	0
22954	-6.07356	-25.1434	30.7881	2.04835	0
10145	7.31812	-7.01735	37.9224	3.08457	0
14156	12.3147	-12.8027	46.284	3.66324	0
9500	6.89526	-15.3746	44.6812	5.09919	0
9822	12.306	-3.29243	49.1915	5.93212	0
9975	-26.1048	-16.2915	40.66	0.304792	0
24760	28.7776	1.66111	37.1412	0.620297	0
27249	0.60284	-19.2375	24.6876	8.18383	0
26213	-34.7898	1.91141	23.9865	0.0918384	0
14341	11.0414	11.5438	36.3446	3.02219	0
26729	-2.33108	3.17391	24.2554	1.64531	0
11320	-12.0082	-12.859	33.1328	3.03538	0
28053	11.7943	19.0134	22.7355	7.53863	0
24993	22.2891	14.2137	31.523	0.576247	0
27514	-6.45957	21.5964	31.1256	2.81774	0
10131	-6.03462	-14.8991	43.11	6.51342	0
10307	-19.3338	15.8186	39.1586	1.34386	0
9658	-20.2707	-4.96791	43.1099	7.50326	0
11308	-16.9968	22.5945	46.3543	0.433603	0
13974	5.33341	9.72589	38.3087	1.44955	0
10640	-26.44	0.0610638	43.0459	2.6816	0
23162	19.1686	0.797461	28.4964	10.7258	0
23176	25.5777	-7.09659	33.4245	3.03947	0
15051	11.1102	-25.9608	38.7089	0.231389	0
25963	-19.077	4.67372	25.0889	9.37062	0
23404	-22.7765	10.1885	25.5089	1.34253	0
15079	-27.735	14.4683	37.411	0.169103	0
15065	16.2012	5.31485	38.6866	3.91574	0
24298	7.68622	3.04945	30.8019	0.835476	0
24070	-3.7008	29.8337	31.1534	0.176093	0
23623	20.778	21.2501	35.3163	0.345197	0
22749	-1.01476	20.1473	30.9618	4.89431	0
17457	-13.4089	-23.7391	33.0567	0.671673	0
25231	-9.8224	12.4902	33.4113	10.1332	0
26463	-18.9529	-22.883	29.9418	0.321288	0
25716	-9.02197	3.30273	30.9689	6.01429	0
26715	-14.4124	8.93518	32.3291	13.6774	0
9228	10.5351	28.7787	46.8795	0.590015	0
27782	27.2815	-12.0671	24.2445	0.963441	0
28884	16.2664	26.1682	27.8575	1.22383	0
28327	-14.146	3.64148	26.9452	13.4437	0
9657	-15.1877	-7.48272	49.8064	6.72399	0
9671	-8.87333	27.0857	37.9103	0.386666	0
9821	17.228	-6.60257	42.9069	9.124	0
9974	-21.9104	-12.517	42.3251	1.82841	0
10130	-8.78398	-19.8813	41.2469	4.29837	0
10144	2.21784	-6.25841	46.0495	4.48502	0
10306	-22.7967	19.2922	39.7536	0.214719	0
10471	-31.1589	-10.1387	37.5414	0.175808	0
10639	-31.3914	-2.53927	34.8409	0.384507	0
10653	21.7785	7.14102	44.3645	2.783	0
11307	-14.687	26.7992	31.2009	0.12605	0
11319	-16.0412	-16.2087	44.4343	2.19589	0
13973	1.14967	6.58378	36.7457	1.0054	0
14155	17.1256	-13.0241	28.9667	2.24703	0
14340	16.0641	12.9899	37.2223	2.50951	0
15050	10.7633	-20.2635	30.6878	0.72965	0
15064	11.6616	4.94793	32.7137	1.45662	0
15078	-31.6216	10.7329	31.0551	0.122402	0
17456	-15.4879	-28.0012	34.6102	0.142663	0
17470	5.28023	-22.7321	33.5677	1.6607	0
22748	2.24777	15.8864	36.2912	7.21643	0
22953	-8.65616	-29.2465	33.9928	0.356045	0
23161	22.666	-1.78188	39.1881	10.0422	0
23175	28.4217	-3.58351	28.8462	0.973469	0
23187	16.1918	-19.9841	30.1354	0.484678	0
23403	-25.9447	6.88539	39.2776	1.56581	0
23622	17.2209	18.0991	28.576	1.20581	0
23844	-2.74903	11.4111	37.3328	4.50748	0
24069	-1.24878	25.3835	31.493	1.15163	0
24297	4.65961	0.0487386	33.2593	1.27806	0
24528	4.46303	29.3518	42.5948	0.653113	0
24759	29.5581	5.92991	24.2167	0.120309	0
24992	25.9389	16.7896	30.2745	0.156605	0
25230	-13.0577	16.1144	27.4605	4.98856	0
25471	24.9598	-18.2123	27.8734	0.250446	0
25715	-6.40274	7.02082	29.0505	4.01011	0
25962	-20.7141	0.644583	32.4528	9.84747	0
26212	-32.1205	5.2255	33.4767	0.261876	0
26462	-21.7854	-20.2707	29.1741	0.311429	0
26714	-18.0252	11.2398	24.8824	5.81982	0
26728	-2.96557	-0.661085	33.4422	3.0117	0
26988	-3.90821	-31.8252	23.9718	0.138543	0
27248	-1.69875	-22.5829	30.7102	5.98031	0
27513	-10.3662	20.2229	23.4198	2.55115	0
27781	22.7219	-11.5001	28.9511	1.89889	0
28052	7.96953	16.3455	30.0129	10.1867	0
28326	-13.4897	-0.541735	24.4338	11.9576	0
28603	-9.04195	-7.74795	25.5785	5.98645	0
28883	13.3998	23.21	22.9103	1.07134	0
28897	2.63862	-13.9207	24.3677	9.82122	0
28898	-0.894483	-13.1405	26.3497	9.55274	0
