CCIndex	x	y	area	aux	cuc
31881	-21.1276	-4.59486	26.5692	0.816983	0
25472	28.2911	-21.0264	40.447	0.197648	0
28580	-16.4194	4.13278	30.9069	50.7996	0
29440	-15.6801	-7.05898	34.876	0.474071	0
24529	1.56078	36.6584	30.7218	0.122704	0
29730	-3.84278	-5.64529	31.5871	0.235892	0
27237	-0.201017	-34.1222	42.9117	0.18499	0
23845	-5.81087	17.8402	39.5689	0.697441	0
10654	30.9043	11.5845	41.5705	0.164755	0
33266	-8.10377	-23.5368	31.7467	1.78526	0
17471	5.03919	-31.8795	44.492	0.174968	0
22954	-7.07599	-29.2304	47.8743	0.444714	0
35418	27.2788	-6.84193	26.2928	1.92699	0
30920	-21.6653	27.7189	27.3991	0.192871	0
31239	2.36826	-9.86725	27.3994	3.73584	0
30023	9.12746	26.3067	32.4704	11.1083	0
32201	-29.8394	-10.923	32.2203	0.566441	0
24760	35.27	1.56271	34.3288	0.0796156	0
27498	0.18047	-21.9187	37.2201	14.3229	0
26213	-38.6207	1.77222	35.6822	0.177879	0
14341	12.7692	13.0714	49.5596	2.72001	0
26976	-0.683705	-0.591938	27.5761	0.0881743	0
11320	-13.5477	-14.728	44.5244	0.670261	0
28305	13.7984	21.4669	30.3196	7.46218	0
24993	26.0161	16.4081	41.2188	0.276459	0
27764	-6.71678	25.0315	31.3084	0.261664	0
32215	-28.4654	-20.7269	31.6011	0.384475	0
34674	-24.7283	24.1741	25.769	0.203277	0
31564	-29.4271	-1.93626	29.979	0.285536	0
30618	11.8562	30.5892	27.7522	0.242951	0
33969	4.72326	31.1597	24.4291	0.399788	0
31550	8.21135	-15.2667	25.804	2.14197	0
35028	-24.3711	17.2787	24.3236	0.370146	0
23176	33.0496	-3.79823	35.8604	0.154368	0
35800	0.173365	8.30912	29.1787	0.122407	0
25963	-22.9225	-0.233823	29.551	5.63074	0
23404	-26.1469	11.4584	43.6112	0.72329	0
15079	-31.568	16.8226	49.812	0.198725	0
33609	22.6937	-26.2754	27.1287	0.276874	0
24298	9.20264	2.90616	41.4568	0.154514	0
24070	-4.14921	34.6138	34.8273	0.160266	0
23623	24.5442	24.6613	40.82	0.175705	0
22749	-0.918783	22.8979	45.6593	4.19476	0
17457	-15.2759	-27.1632	46.2306	0.43729	0
25231	-11.5082	13.6414	39.1556	5.90945	0
26463	-24.2424	-26.5921	37.6449	0.200218	0
25716	-10.3286	3.47459	39.7668	3.6755	0
26718	-16.6719	9.5448	38.9529	55.057	0
30319	12.8563	-5.7307	30.1633	2.66116	0
28033	30.7251	-14.1134	37.2784	0.173113	0
28858	19.4105	29.5748	34.4336	0.117719	0
29139	-0.7826	-15.1431	34.3461	43.5626	0
29153	-10.3363	-3.61691	31.4268	0.320978	0
35042	28.148	-0.605814	25.4193	11.4975	0
32589	-24.2212	-13.0446	31.7072	0.738254	0
32255	-16.3851	-20.162	26.1173	0.28857	0
32926	21.7132	-8.73516	24.4056	23.3571	0
31225	13.6983	-12.2687	29.9039	0.542759	0
34320	4.87908	12.7278	25.1187	0.428301	0
36174	14.5727	-29.3884	28.4263	0.336043	0
10639	-35.647	-3.28192	45.6616	0.254543	0
32227	-8.39629	-16.0559	28.4993	5.05283	0
11307	-16.6422	30.9755	42.7042	0.27512	0
32241	24.3182	10.4839	27.9013	0.3154	0
35786	8.68191	-10.3951	24.5194	0.593088	0
14155	19.6845	-14.8596	39.5044	0.714761	0
36186	-36.4096	-9.3564	24.5521	0.239771	0
15050	12.6656	-23.2783	41.0589	0.244501	0
15064	13.6379	5.50574	44.8195	0.353075	0
15078	-36.0475	12.414	40.4321	0.154442	0
17456	-17.7153	-32.2854	47.3763	0.20659	0
17470	6.27122	-26.1177	46.5143	0.470101	0
22748	2.75746	17.7713	44.2081	8.95275	0
22953	-10.0925	-34.0591	37.8895	0.184342	0
23161	22.5536	-2.48847	39.595	36.5806	0
35404	-9.57745	29.4016	25.8445	0.245737	0
23187	18.6527	-22.3599	33.3296	0.270087	0
23403	-30.2037	7.82141	42.417	0.336742	0
23622	20.3837	20.9291	42.5312	0.381536	0
