CCIndex	x	y	area	aux	cuc
10472	-28.0419	-8.31315	47.4681	0.518511	0
25472	25.954	-19.3573	34.6176	0.134029	0
28580	-15.0976	3.89652	26.9966	30.9529	0
29440	-14.6	-6.50438	29.9389	4.4256	0
24529	1.24625	33.7948	25.8691	0.0824934	0
29730	-3.58809	-5.14561	27.0969	2.55413	0
27237	-0.223678	-31.3683	36.3959	0.172297	0
23845	-5.34952	16.3329	32.9224	3.1087	0
10654	28.2958	10.505	34.609	0.168287	0
23188	18.815	-25.3423	46.2807	0.176055	0
17471	4.54862	-29.3034	37.6598	0.195154	0
22954	-6.63787	-26.8688	40.216	1.06715	0
10145	7.7609	-7.4544	42.2584	2.99214	0
30920	-19.9993	25.435	24.1526	0.301706	0
9500	7.27049	-16.2804	49.9939	5.24356	0
30023	8.18261	24.2594	27.5919	7.92203	0
9975	-27.3835	-17.4728	47.3195	0.186575	0
24760	32.2244	1.4202	29.2577	0.0860775	0
27498	0.017038	-20.2407	31.2756	11.1888	0
26213	-35.8061	1.72734	30.7044	0.0911428	0
14341	11.6876	12.0471	41.1076	3.07107	0
26976	-0.667615	-0.40382	23.6934	0.428977	0
11320	-12.5609	-13.565	36.777	2.28149	0
28305	12.5352	19.8208	25.7973	7.02384	0
24993	23.7442	14.9811	34.5918	0.278639	0
27764	-6.25092	22.9811	26.6832	0.987133	0
10131	-6.28939	-15.6629	47.7022	10.3933	0
10307	-20.3931	16.8057	44.0202	1.15841	0
9658	-21.3305	-5.2683	49.1966	4.75259	0
30618	10.5978	28.2636	23.8667	0.334717	0
13974	5.60704	10.0972	43.9679	0.848338	0
10640	-27.8753	0.129064	49.7295	1.22599	0
23162	24.1008	0.675569	43.916	11.0499	0
23176	30.2373	-3.52754	30.3116	0.244643	0
15051	11.7919	-27.4011	42.8846	0.180349	0
25963	-21.1986	-0.162887	24.971	9.18753	0
23404	-24.2605	10.4	36.8911	1.6915	0
15079	-29.2391	15.3937	41.8149	0.140673	0
15065	17.3909	5.41432	45.721	4.43445	0
24298	8.42799	2.76566	35.0727	0.432342	0
24070	-3.98076	31.7691	30.0325	0.104631	0
23623	22.3085	22.6129	34.7115	0.145268	0
22749	-0.880314	21.0319	38.7292	4.90169	0
17457	-14.1867	-25.0424	38.1819	0.440749	0
25231	-10.6627	12.5535	32.9298	10.6709	0
26463	-22.4789	-24.363	32.2172	0.124639	0
25716	-9.43897	3.26412	33.8997	6.57102	0
26718	-15.4318	8.85476	32.6188	34.37	0
30319	11.8561	-5.32059	26.2535	6.83986	0
28033	28.2045	-12.8901	32.4467	0.245379	0
28858	17.6341	27.2644	29.3682	0.177023	0
29139	-0.835139	-13.9108	29.9969	17.0018	0
29153	-9.62088	-3.3216	27.0795	3.1552	0
9671	-9.27672	28.6725	43.2836	0.213835	0
9821	18.1111	-7.10704	46.5154	17.5772	0
9974	-22.9995	-13.2923	47.379	0.783048	0
10130	-9.15503	-20.9841	46.4802	3.8547	0
31225	12.577	-11.3677	25.8825	2.37638	0
10306	-24.0998	20.5379	44.2987	0.190505	0
10471	-32.7939	-10.9111	42.0743	0.136399	0
10639	-33.0579	-2.95599	37.8899	0.179236	0
10653	23.1325	7.74299	47.8118	1.74162	0
11307	-15.4304	28.4582	34.8073	0.128389	0
11319	-16.7636	-17.0334	47.5548	1.05368	0
13973	1.14102	6.63681	42.4044	0.344834	0
14155	18.0793	-13.7348	32.103	1.24393	0
14340	17.0701	13.6231	42.0931	1.71841	0
15050	11.471	-21.3707	34.1143	0.340513	0
15064	12.422	5.10702	36.7488	1.14155	0
15078	-33.3548	11.4099	34.388	0.0991444	0
17456	-16.3816	-29.6481	39.66	0.149351	0
17470	5.63059	-24.0258	38.5619	0.944589	0
22748	2.50217	16.3681	36.8516	6.50718	0
22953	-9.30941	-31.3177	32.1648	0.150142	0
23161	20.5902	-2.2959	32.0754	24.0518	0
23175	26.8113	-7.11051	42.9833	2.39581	0
23187	17.0039	-20.5181	26.4834	0.199838	0
23403	-27.9452	7.13951	35.6968	0.581323	0
23622	18.57	19.1685	35.9793	0.617256	0
23844	-2.9901	11.7971	41.6141	1.95972	0
24069	-1.3302	27.0699	40.2316	0.796356	0
24297	4.73293	0.0692471	35.4819	0.417617	0
24528	5.06066	30.726	44.2632	0.473539	0
24759	30.2558	5.53041	39.9919	0.219293	0
24992	27.4975	17.8799	33.1853	0.102374	0
25230	-13.1854	17.117	35.8448	3.96543	0
25471	21.8256	-17.3954	30.8649	0.210365	0
25715	-7.22514	7.57162	31.8094	3.12672	0
25962	-21.0948	4.39697	38.9801	18.954	0
26212	-34.1913	6.01497	33.0318	0.123345	0
26462	-19.9625	-21.1191	31.5328	0.251605	0
26717	-18.4615	12.1728	30.6128	12.8754	0
26975	-4.27697	1.72841	40.3548	1.23575	0
27236	-4.22807	-33.7757	25.4204	0.0729077	0
27497	-1.38791	-24.3462	30.9223	4.05137	0
27763	-10.4895	21.6299	33.2926	1.04806	0
28032	23.4282	-11.8468	25.531	0.49748	0
28304	8.35885	17.1123	32.8826	12.7989	0
28579	-14.2596	-0.483872	29.1235	15.2516	0
28857	14.1744	24.5724	26.5805	0.622051	0
29138	2.90728	-14.6783	25.0719	14.3547	0
29152	-9.40575	-8.12254	28.811	3.21969	0
29439	-17.5683	-9.749	24.4969	2.64553	0
29729	-4.29893	-9.66238	26.8761	5.85015	0
30022	4.624	22.5362	27.0529	11.1227	0
30318	14.1595	-1.72914	27.441	9.23963	0
30617	11.953	31.7836	28.663	0.204247	0
30919	-16.1799	22.7383	27.8302	0.240307	0
31224	13.3869	-15.7267	25.3141	2.32279	0
31238	2.43499	-4.74009	27.2037	3.77736	0
31239	2.2465	-8.94905	23.9277	4.97783	0
