CCIndex	x	y	area	aux	cuc
10472	-24.6161	-7.15649	35.2386	2.0051	0
25472	22.5331	-16.6861	27.5728	1.29048	0
9229	13.6565	23.0359	42.2199	1.53704	0
9514	-3.543	-6.43195	41.3536	2.63792	0
24529	1.00185	29.6048	20.1935	0.701042	0
9362	5.48715	20.5301	39.6212	3.25061	0
6633	-0.651563	-19.4383	46.6747	3.8964	0
23845	-4.68254	14.2039	24.3997	3.00959	0
10654	24.3604	8.99739	26.9603	1.19071	0
23188	16.2252	-22.1903	35.348	0.871403	0
17471	3.887	-25.6225	29.3966	1.00981	0
22954	-5.94034	-23.3056	30.5333	2.81828	0
10145	6.57621	-6.42765	31.9172	2.18378	0
14156	11.1523	-11.8519	38.9313	2.60369	0
9500	6.23925	-14.2199	37.8501	2.71204	0
9822	11.16	-3.11825	40.092	2.95211	0
9975	-24.0652	-15.0545	35.0115	0.937736	0
24760	27.7353	1.2873	22.7852	0.589716	0
9672	-7.51477	19.3579	45.7765	3.03098	0
5877	-18.6649	-19.7291	49.1847	1.41403	0
14341	10.0606	10.723	31.1792	1.97676	0
6621	-1.77394	-28.1916	47.213	0.980535	0
11320	-11.1693	-11.7704	28.2213	1.97092	0
8966	-12.7443	1.56206	42.4716	3.21606	0
24993	20.3939	13.0999	26.2191	1.73431	0
7727	22.6241	-10.6517	44.5888	2.14347	0
10131	-5.64852	-13.7116	36.3596	2.5429	0
10307	-17.9108	14.6686	33.1953	2.17818	0
9658	-18.6886	-4.59443	36.1787	3.08251	0
11308	-15.6959	20.8887	38.4703	1.17212	0
13974	4.85364	8.87644	32.2867	1.53649	0
10640	-24.3745	0.0868805	36.3953	2.63077	0
23162	20.4647	0.514615	33.0937	3.91167	0
23176	26.0562	-3.08877	23.8248	1.09106	0
15051	10.1402	-24.0647	32.5266	0.866301	0
5764	-30.6825	3.54708	49.9653	0.83335	0
23404	-21.3847	8.94008	28.3345	2.95543	0
15079	-25.7271	13.428	31.7431	0.631037	0
15065	14.838	4.86865	33.2371	2.62354	0
24298	7.27562	2.5152	27.0554	2.22903	0
24070	-3.59292	27.6406	24.2209	1.01641	0
23623	19.0596	19.91	26.9193	1.1894	0
22749	-0.770816	18.3217	29.7936	3.10009	0
17457	-12.494	-21.8079	28.3029	1.63528	0
25231	-9.41119	10.985	24.6825	3.86343	0
8838	-14.9481	9.22838	48.3467	4.19222	0
25716	-8.13922	2.95663	26.9548	3.17803	0
9095	-2.53465	0.933448	48.2128	2.92477	0
9228	9.62828	26.585	40.1372	1.0808	0
9361	8.69779	16.1913	44.37	3.57351	0
9499	0.633391	-12.4609	43.3249	3.24365	0
9513	-8.34401	-5.02029	42.7414	2.54731	0
9657	-14.0277	-6.84573	41.8773	2.81223	0
9671	-8.25311	24.9053	31.7522	1.05027	0
9821	15.486	-6.17252	34.432	3.27417	0
9974	-20.2914	-11.5266	35.9506	2.38932	0
10130	-8.11046	-18.2559	34.8012	2.95372	0
10144	1.97546	-5.70717	39.8478	2.56071	0
10306	-21.0013	17.8211	34.2098	0.780689	0
10471	-28.7179	-9.26945	32.0854	0.595185	0
10639	-28.8698	-2.29841	28.8413	1.09327	0
10653	19.8773	6.714	36.8246	2.62141	0
11307	-13.6343	24.6843	27.0007	0.461583	0
11319	-14.7751	-14.7652	36.5673	2.54223	0
13973	0.950274	6.13702	31.3829	1.63217	0
14155	15.4905	-11.9737	24.519	1.87588	0
14340	14.6034	12.0442	31.4474	2.28759	0
15050	9.82936	-18.7919	26.6536	1.49283	0
15064	10.7244	4.5687	27.7825	1.84847	0
15078	-29.3223	10.0421	26.8448	0.420151	0
17456	-14.344	-25.7286	30.2037	0.552745	0
17470	4.79215	-21.0492	28.2954	2.01564	0
22748	2.16335	14.3452	27.3268	2.64533	0
22953	-8.08747	-27.2922	24.9896	1.07015	0
23161	17.6095	-2.02214	24.198	4.24425	0
23175	23.138	-6.15394	31.5867	2.52142	0
23187	14.7085	-18.0319	20.3544	1.31571	0
23403	-24.4539	6.20934	27.1194	2.4717	0
23622	15.9076	16.8737	27.9164	2.19723	0
23844	-2.71136	10.4593	30.7919	2.71666	0
24069	-1.23098	23.5859	30.3732	2.32388	0
24297	3.98874	0.363518	27.061	2.3126	0
24528	4.22534	26.9325	33.3758	1.495	0
24759	26.0653	4.73697	30.7983	1.13175	0
24992	23.6116	15.5939	26.4149	0.937103	0
25230	-11.5673	14.8528	27.4257	3.88135	0
25471	18.8925	-15.0547	24.084	1.63353	0
25715	-6.25749	6.6448	24.3309	3.22751	0
25962	-18.3646	3.71558	30.1525	4.28303	0
25963	-18.4809	-0.208815	20.1984	4.28303	0
