CCIndex	x	y	area	aux	cuc
10472	-25.9393	-7.58188	39.6666	1.54976	0
25472	23.8348	-17.7664	29.8669	0.460652	0
9229	14.5181	24.1659	47.8476	1.38339	0
9514	-3.66985	-6.81315	46.1122	4.46515	0
24529	1.08127	31.2224	22.2912	0.193473	0
9362	5.81062	21.6683	44.9007	5.81843	0
27237	-0.225307	-28.9079	31.129	0.538273	0
23845	-4.89867	15.003	27.4153	4.43497	0
10654	25.8576	9.55912	29.7112	0.697689	0
23188	17.1968	-23.414	39.1722	0.298197	0
17471	4.12621	-26.9962	32.1827	0.600619	0
22954	-6.18341	-24.6837	34.2378	2.93218	0
10145	7.06309	-6.81651	35.6402	3.21476	0
14156	11.8731	-12.4955	43.4163	3.48297	0
9500	6.64812	-14.997	42.2298	4.25844	0
9822	11.9106	-3.27417	45.2884	5.61142	0
9975	-25.3353	-15.9467	39.3451	0.524704	0
24760	29.4532	1.33142	25.136	0.208576	0
27498	-0.00772198	-18.7139	26.4899	7.16952	0
26213	-33.0875	1.74587	26.7618	0.215989	0
14341	10.7086	11.1893	34.5509	2.85952	0
26976	-0.649204	-0.264235	20.3178	2.58403	0
11320	-11.7081	-12.4545	31.2631	2.71444	0
8966	-13.4843	1.59086	48.2745	8.6814	0
24993	21.6731	13.7929	29.2503	1.06643	0
27764	-5.78737	21.198	22.889	3.90303	0
10131	-5.90177	-14.4515	40.5266	4.80719	0
10307	-18.8292	15.4753	37.1334	2.37744	0
9658	-19.742	-4.83431	40.5491	5.36023	0
11308	-16.537	22.0778	43.5414	0.690962	0
13974	5.16091	9.35497	36.4345	1.51796	0
10640	-25.7521	0.11719	41.0989	2.71708	0
23162	21.8699	0.561736	36.9563	6.79541	0
23176	27.6663	-3.26464	26.134	0.72619	0
15051	10.7582	-25.3266	36.1886	0.390006	0
25963	-19.5861	-0.192497	21.8078	6.78543	0
23404	-22.4708	9.48803	31.4407	3.32833	0
15079	-27.0337	14.1774	35.3325	0.27916	0
15065	15.8267	5.04791	37.6591	4.42112	0
24298	7.73814	2.61933	29.9484	1.74239	0
24070	-3.75404	29.2358	26.2995	0.321327	0
23623	20.2877	20.9061	29.7667	0.507698	0
22749	-0.802426	19.37	33.025	4.77947	0
17457	-13.1293	-23.0332	31.9197	1.23186	0
25231	-9.8526	11.5889	27.6628	7.22523	0
26463	-20.8199	-22.2869	27.6666	0.364666	0
25716	-8.60224	3.07402	29.2498	4.95443	0
26718	-14.2635	8.25462	27.5878	10.976	0
9228	10.2361	27.992	44.3946	0.806435	0
28033	25.9194	-11.7115	28.4662	2.1143	0
9499	0.737634	-13.1469	48.1022	6.80156	0
9513	-8.80063	-5.31715	47.945	4.43725	0
9657	-14.797	-7.26624	46.7356	4.84965	0
9671	-8.64964	26.39	35.5613	0.631251	0
9821	16.5314	-6.55028	38.5677	7.28013	0
9974	-21.3345	-12.1798	40.0064	2.33424	0
10130	-8.53353	-19.2859	38.914	4.5339	0
10144	2.15607	-6.07019	43.7757	3.97591	0
10306	-22.1541	18.8452	37.8006	0.356055	0
10471	-30.2809	-9.88099	35.6239	0.261891	0
10639	-30.4857	-2.53966	32.0676	0.571307	0
10653	21.1235	7.08702	40.7269	3.22599	0
11307	-14.315	26.1465	29.6506	0.176472	0
11319	-15.5468	-15.6135	40.4697	2.83576	0
13973	1.06052	6.33495	35.3366	1.52021	0
14155	16.5071	-12.6605	27.2661	2.14158	0
14340	15.5621	12.6115	35.1753	3.02093	0
15050	10.4611	-19.7666	29.318	0.997138	0
15064	11.3887	4.76357	30.9686	2.16968	0
15078	-30.8319	10.5781	29.5144	0.157482	0
17456	-15.1255	-27.205	33.5774	0.23679	0
17470	5.13596	-22.1781	31.8353	1.97389	0
22748	2.3055	15.1271	30.7809	4.15825	0
22953	-8.55328	-28.8107	27.5685	0.514934	0
23161	18.7648	-2.1322	27.0196	9.70703	0
23175	24.5639	-6.48531	35.0517	3.1688	0
23187	15.5851	-18.9962	22.5896	0.60522	0
23403	-25.7912	6.56535	30.2021	1.90348	0
23622	16.9193	17.7155	30.7701	1.84746	0
23844	-2.79109	10.9648	34.6481	3.36708	0
24069	-1.28288	24.9371	33.9371	1.88019	0
24297	4.30448	0.249939	30.1101	1.91106	0
24528	4.52083	28.4108	37.0718	0.965188	0
24759	27.6639	5.03053	34.149	0.648169	0
24992	25.0881	16.4457	28.8004	0.274277	0
25230	-12.147	15.7299	30.4645	5.77147	0
25471	20.0091	-16.0084	26.4565	0.894868	0
25715	-6.60616	6.9998	27.03	4.21462	0
25962	-19.4421	3.9675	33.238	8.69165	0
26212	-31.6125	5.63151	28.1483	0.290478	0
26462	-18.439	-19.3956	26.9767	0.993095	0
26717	-17.1303	11.194	26.5511	7.92916	0
26975	-3.87146	1.65955	34.0796	3.83798	0
27236	-3.87186	-31.1211	21.9999	0.269953	0
27497	-1.3373	-22.3683	26.1548	6.07328	0
27763	-9.61468	19.9045	28.6667	3.84359	0
28032	21.4797	-10.8573	22.3372	2.04475	0
28304	7.6382	15.8525	28.2755	6.84644	0
28305	11.3625	18.4617	22.1701	6.84644	0
